CUST0001,500
CUST0002,500
CUST0003,2300
CUST0004,1500
CUST0005,1500
CUST0006,1500
CUST0007,500
CUST0008,4500
CUST0009,500
CUST0010,4500
CUST0011,890
CUST0012,500
CUST0013,500
CUST0014,500
CUST0015,1500
CUST0016,1500
CUST0017,4500
CUST0018,4500
CUST0019,500
CUST0020,4500
CUST0001,1500
CUST0002,4500
CUST0003,890
CUST0004,1500
CUST0005,890
CUST0006,4500
CUST0007,2300
CUST0008,500
CUST0009,1500
CUST0010,890
CUST0011,2300
CUST0012,2300
CUST0013,1500
CUST0014,1500
CUST0015,2300
CUST0016,500
CUST0017,500
CUST0018,890
CUST0019,500
CUST0020,2300
CUST0001,2300
CUST0002,4500
CUST0003,2300
CUST0004,500
CUST0005,890
CUST0006,4500
CUST0007,500
CUST0008,890
CUST0009,500
CUST0010,4500
CUST0011,2300
CUST0012,4500
CUST0013,2300
CUST0014,4500
CUST0015,1500
CUST0016,500
CUST0017,500
CUST0018,1500
CUST0019,2300
CUST0020,500
CUST0001,1500
CUST0002,500
CUST0003,890
CUST0004,2300
CUST0005,890
CUST0006,2300
CUST0007,1500
CUST0008,2300
CUST0009,2300
CUST0010,1500
CUST0011,2300
CUST0012,500
CUST0013,4500
CUST0014,1500
CUST0015,4500
CUST0016,1500
CUST0017,1500
CUST0018,890
CUST0019,890
CUST0020,2300
CUST0001,4500
CUST0002,1500
CUST0003,2300
CUST0004,500
CUST0005,1500
CUST0006,500
CUST0007,2300
CUST0008,890
CUST0009,2300
CUST0010,500
CUST0011,1500
CUST0012,4500
CUST0013,2300
CUST0014,1500
CUST0015,890
CUST0016,890
CUST0017,890
CUST0018,1500
CUST0019,2300
CUST0020,1500
CUST0001,1500
CUST0002,4500
CUST0003,4500
CUST0004,2300
CUST0005,4500
CUST0006,890
CUST0007,4500
CUST0008,890
CUST0009,2300
CUST0010,1500
CUST0011,1500
CUST0012,4500
CUST0013,890
CUST0014,500
CUST0015,500
CUST0016,500
CUST0017,1500
CUST0018,1500
CUST0019,890
CUST0020,4500
CUST0001,500
CUST0002,890
CUST0003,890
CUST0004,4500
CUST0005,890
CUST0006,4500
CUST0007,2300
CUST0008,4500
CUST0009,500
CUST0010,500
CUST0011,4500
CUST0012,2300
CUST0013,2300
CUST0014,500
CUST0015,2300
CUST0016,890
CUST0017,1500
CUST0018,890
CUST0019,500
CUST0020,2300
CUST0001,4500
CUST0002,1500
CUST0003,4500
CUST0004,500
CUST0005,2300
CUST0006,4500
CUST0007,4500
CUST0008,1500
CUST0009,1500
CUST0010,2300
CUST0011,1500
CUST0012,4500
CUST0013,4500
CUST0014,500
CUST0015,4500
CUST0016,2300
CUST0017,890
CUST0018,500
CUST0019,500
CUST0020,2300
CUST0001,2300
CUST0002,1500
CUST0003,500
CUST0004,1500
CUST0005,4500
CUST0006,500
CUST0007,500
CUST0008,890
CUST0009,500
CUST0010,4500
CUST0011,1500
CUST0012,1500
CUST0013,890
CUST0014,4500
CUST0015,1500
CUST0016,2300
CUST0017,4500
CUST0018,4500
CUST0019,890
CUST0020,1500
CUST0001,4500
CUST0002,1500
CUST0003,2300
CUST0004,890
CUST0005,2300
CUST0006,890
CUST0007,4500
CUST0008,890
CUST0009,500
CUST0010,1500
CUST0011,1500
CUST0012,500
CUST0013,2300
CUST0014,500
CUST0015,4500
CUST0016,4500
CUST0017,1500
CUST0018,4500
CUST0019,1500
CUST0020,500
CUST0021,500
CUST0022,500
CUST0023,1500
CUST0024,500
CUST0025,500
CUST0026,2300
CUST0027,500
CUST0028,4500
CUST0029,1500
CUST0030,2300
CUST0031,890
CUST0032,1500
CUST0033,4500
CUST0034,1500
CUST0035,4500
CUST0036,4500
CUST0037,890
CUST0038,1500
CUST0039,890
CUST0040,890
CUST0041,1500
CUST0042,500
CUST0043,500
CUST0044,890
CUST0045,2300
CUST0046,890
CUST0047,890
CUST0048,890
CUST0049,500
CUST0050,500
CUST0051,500
CUST0052,890
CUST0053,2300
CUST0054,500
CUST0055,1500
CUST0056,1500
CUST0057,1500
CUST0058,4500
CUST0059,890
CUST0060,1500
CUST0061,890
CUST0062,1500
CUST0063,2300
CUST0064,890
CUST0065,1500
CUST0066,500
CUST0067,890
CUST0068,4500
CUST0069,500
CUST0070,500
CUST0071,4500
CUST0072,500
CUST0073,500
CUST0074,1500
CUST0075,1500
CUST0076,890
CUST0077,890
CUST0078,890
CUST0079,1500
CUST0080,890
CUST0081,500
